t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=7088fae67846 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=c2fd38293408 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=16b5220d3e98 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=86b1da66ecf3 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=ef8653d4a604 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=be59b11c4bff l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=b3d19fefa36e l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=c6656a1b92f7 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=1a3290a948f0 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=560e0f550039 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=3de76a81a7f2 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=2d572ce011c8 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=9a0af9425d1b l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=756a657562ea l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=a5807502bfbe l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=61049f105de2 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=ed61fdbf1fac l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=5dcd16c1e9b5 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=e63d4ccd8534 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=1974747163e1 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=280df733b7b1 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=3be6929aab20 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=6fa4f5ba46ba l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:56+0100 lvl=info msg="join connections" obj=join id=af1e77345f5e l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
